☁  k8s-hyperledger-fabric-2.2 [master] ⚡  docker-compose -f network/docker/docker-compose-ca.yaml up  
Creating network "docker_fabric-ca" with the default driver
Creating org2-ca     ... done
Creating orderers-ca ... done
Creating org1-ca         ... done
Creating org2-client     ... done
Creating orderers-client ... done
Creating org1-client     ... done
Attaching to org2-ca, orderers-ca, org1-ca, org2-client, orderers-client, org1-client
org1-ca            | 2020/12/10 05:22:05 [INFO] Created default configuration file at /etc/hyperledger/fabric-ca-server/fabric-ca-server-config.yaml
org2-client        | 2020/12/10 05:22:18 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/msp/IssuerRevocationPublicKey
org2-client        | mv: target '/etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/peers/peer1-org2/msp/keystore/pvt-cert.pem' is not a directory
orderers-client    | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/tls/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:18 [INFO] encoded CSR
org2-client        | 2020/12/10 05:22:18 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
org2-ca            | 2020/12/10 05:22:18 [INFO] 172.23.0.5:52300 POST /cainfo 200 0 "OK"
org2-client        | 2020/12/10 05:22:18 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/msp/IssuerRevocationPublicKey
org2-client        | mv: cannot stat '/etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/msp/keystore/*': No such file or directory
orderers-ca        | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 260564282553868341159362484927194661764091520056
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60688 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/tls/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/tls/msp/tlscacerts/tls-orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/tls/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/tls/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60692 POST /register 201 0 "OK"
orderers-client    | Password: secret
orderers-client    | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:18 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 319811317243416092173403961394244075670172715391
org1-client        | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:18 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60694 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer0/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/tls/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:18 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 408984274946620309244881998853308592969254964729
org1-ca            | 2020/12/10 05:22:18 [INFO] 172.23.0.7:45780 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:18 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/msp/IssuerRevocationPublicKey
org1-client        | 2020/12/10 05:22:18 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 45428028610304402158854706169871976205898889599
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60698 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/tls/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/tls/msp/tlscacerts/tls-orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/tls/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/tls/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
org1-ca            | 2020/12/10 05:22:18 [INFO] 172.23.0.7:45784 POST /register 201 0 "OK"
org1-client        | Password: secret
org1-client        | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/Admin@org1/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:18 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60702 POST /register 201 0 "OK"
orderers-client    | Password: secret
org1-ca            | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 228597136470165224422344202211188590429132313117
orderers-client    | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:18 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:18 [INFO] 172.23.0.7:45788 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/Admin@org1/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:18 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/Admin@org1/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/Admin@org1/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/Admin@org1/msp/IssuerRevocationPublicKey
org1-client        | 2020/12/10 05:22:18 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 535228866906775883338829191287774325100869438292
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60706 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer1/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/tls/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:18 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
org1-ca            | 2020/12/10 05:22:18 [INFO] 172.23.0.7:45792 POST /register 201 0 "OK"
org1-client        | Password: secret
orderers-client    | 2020/12/10 05:22:18 [INFO] encoded CSR
org1-client        | 2020/12/10 05:22:18 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/User1@org1/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:18 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:18 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:18 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 33967528685180737172169228028840696726451754704
orderers-ca        | 2020/12/10 05:22:18 [INFO] 172.23.0.6:60710 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/tls/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/tls/msp/tlscacerts/tls-orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/tls/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:18 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/tls/msp/IssuerRevocationPublicKey
org1-ca            | 2020/12/10 05:22:18 [INFO] signed certificate with serial number 479691556070310835088096924896884731186599813031
orderers-client    | 2020/12/10 05:22:19 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/users/rootAdmin/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:19 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45796 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:19 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/User1@org1/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/User1@org1/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/User1@org1/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/User1@org1/msp/IssuerRevocationPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/tls/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:19 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:19 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:19 [INFO] 172.23.0.6:60714 POST /register 201 0 "OK"
orderers-client    | Password: secret
org1-ca            | 2020/12/10 05:22:19 [INFO] signed certificate with serial number 573937608194183704269323925454162696957420593496
orderers-client    | 2020/12/10 05:22:19 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:19 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:19 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:19 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45800 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:19 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/tls/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/tls/msp/tlscacerts/tls-org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/tls/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/tls/msp/IssuerRevocationPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:19 [INFO] signed certificate with serial number 297669739416550643559535363099119111067505574207
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:19 [INFO] 172.23.0.6:60718 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/orderers/orderer2/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:19 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:19 [INFO] TLS Enabled
orderers-ca        | 2020/12/10 05:22:19 [INFO] 172.23.0.6:60722 POST /cainfo 200 0 "OK"
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/ordererOrganizations/orderer/msp/IssuerRevocationPublicKey
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45804 POST /register 201 0 "OK"
org1-client        | Password: secret
org1-client        | 2020/12/10 05:22:19 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:19 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:19 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:19 [INFO] signed certificate with serial number 124431345142078983227981726071478286708141482473
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45808 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:19 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/msp/IssuerRevocationPublicKey
org1-client        | mv: target '/etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer0-org1/msp/keystore/pvt-cert.pem' is not a directory
org1-client        | 2020/12/10 05:22:19 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/tls/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:19 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:19 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:19 [INFO] signed certificate with serial number 290848032736616211227327850912152999477515339935
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45810 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:19 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/tls/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored TLS root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/tls/msp/tlscacerts/tls-org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/tls/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/tls/msp/IssuerRevocationPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/users/rootAdmin/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45812 POST /register 201 0 "OK"
org1-client        | Password: secret
org1-client        | 2020/12/10 05:22:19 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:19 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:19 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:19 [INFO] signed certificate with serial number 298915615597934184132628657409300150744946247873
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45814 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:19 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/msp/IssuerRevocationPublicKey
org1-client        | mv: target '/etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/peers/peer1-org1/msp/keystore/pvt-cert.pem' is not a directory
org1-client        | 2020/12/10 05:22:19 [INFO] Configuration file location: /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:19 [INFO] TLS Enabled
org1-ca            | 2020/12/10 05:22:19 [INFO] 172.23.0.7:45816 POST /cainfo 200 0 "OK"
org1-client        | 2020/12/10 05:22:19 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:19 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/msp/IssuerRevocationPublicKey
org1-client        | mv: cannot stat '/etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org1/msp/keystore/*': No such file or directory
^X^CGracefully stopping... (press Ctrl+C again to force)
Stopping org1-client     ... 
